row_id,bucket,original_priority,feature,source_status,area,comparison_citation,primary_package,decision_flags,planning_note,current_scope,current_package,scope_change_reason,current_boundary
49,Release 1,R1-040,Drop-off day reserves capacity without promising a start time,BUILT-in-prototype,Calendar / diary,"PD ""Booking""; OV P-04; AC-16",W05,D06,,Release 1,P04,,
50,Release 1,R1-041,Reschedule refused when capacity is gone,BUILT-in-prototype,Calendar / diary,"OV §""Also proven"", ""Sam has no remaining capacity that day.""",W05,,,Release 1,P04,,
64,Release 1,R1-042,Job card opens as a modal over the list,BUILT-in-prototype,Job card,"OV P-06, ""inspection dialog"" layout checks",W11,,,Release 1,P02,,
67,Release 1,R1-043,Scheduled date-time on the card,BUILT-in-app,Job card,MP §3 diary,W11,,,Release 1,P02,,
68,Release 1,R1-044,Technician assignment on the card,BUILT-in-prototype,Job card,"PD ""Work allocation""; OV P-05, ""Assigned to Jack""",W11,,,Release 1,P02,,
70,Release 1,R1-045,Item/bike chip on the card,BUILT-in-app,Job card,"WS §1, `customer_bikes` is a first-class entity",W11,,,Release 1,P02,,
76,Release 1,R1-046,"Attachments panel, drag-and-drop, 20MB cap",BUILT-in-app,Job card,MP DS-9 names attachments as an existing surface needing tests,W11,D11,,Release 1,P02,,
73,Release 1,R1-047,Status dropdown on the card,BUILT-in-app,Job card,"WS §2, five statuses",W11,,,Release 1,P02,,
84,Release 1,R1-048,"Product search by name, SKU or other",BUILT-in-app,Job card,"WS §2, ""Parts drawn from inventory onto a job — Have""",W11,,,Release 1,P02,,
85,Release 1,R1-049,All / Service Types filter on product search,NOT-MENTIONED,Job card,—,W11,,,Release 1,P02,,
86,Release 1,R1-050,Line items with SKU and price,BUILT-in-app,Job card,WS §2; WS §4 W2 blocker on `sale_document_items`,W11,,,Release 1,P02,,
87,Release 1,R1-051,Tax and total on the card,BUILT-in-app,Job card,MP §3 (till); MP TILL-4 notes VAT is not yet stored data,W11,,,Release 1,P02,,Quote line tax/total only; no invoice or tax report.
93,Release 1,R1-052,Barcode exact-match auto-add,NOT-MENTIONED,Job card,—,W11,,,Release 1,P02,,
98,Release 1,R1-053,SKU groups on the card,NOT-MENTIONED,Job card,—,W11,D10,,Release 1,P02,,
80,Release 1,R1-054,Move job control,BUILT-in-app,Job card,MP §3 diary (drag-to-reschedule),W11,,,Release 1,P02,,
99,Release 1,R1-055,"Update-an-item dialog (manufacturer, model, year, colour, serial, size, type)",IN-SPEC (not built),Job card,WS §4 W3 item 14; MP BIKE-1,W11,D06,,Release 1,P02,,
100,Release 1,R1-056,Select a different item on the job,NOT-MENTIONED,Job card,—,W11,D06,,Release 1,P02,,
96,Release 1,R1-057,Service-writer shown on the card,NOT-MENTIONED,Job card,—,W11,,,Release 1,P02,,
103,Release 1,R1-058,Customer-level service history (job with no bike),IN-SPEC (not built),Job card,WS §4 W1 item 8; MP WS-4,W03,,,Release 1,P02,,
104,Release 1,R1-059,"Job status history — who changed what, when",IN-SPEC (not built),Job card,WS §4 W1 item 6; MP WS-1,W03,,,Release 1,P02,,
92,Release 1,R1-060,Lock job card on collection,IN-SPEC (not built),Job card,"WS §4 W0 item 1, ""rejecting edits to a completed job""; MP DS-8",W03,D09,,Release 1,P02,,
122,Release 1,R1-061,Reopen a completed job,IN-SPEC (not built),"Statuses, SLA and workflow rules","AC-28; AC §6 JOB-02/JOB-19, ""reopen preserves history""",W03,D09,,Release 1,P02,,
123,Release 1,R1-062,Stale-edit / concurrent-edit conflict handling,IN-SPEC (not built),"Statuses, SLA and workflow rules",AC-10; AC §6 JOB-23/CAL-10,W03,D09,,Release 1,P02,,
97,Release 1,R1-063,Ctrl+Enter to send,NOT-MENTIONED,Job card,—,W07,,,Release 1,P06,,
106,Release 1,R1-064,Every status label renameable,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,D09,,Release 1,P02,,
108,Release 1,R1-065,Waiting-for-parts status,BUILT-in-prototype,"Statuses, SLA and workflow rules","PD ""Delays""; OV P-10",W03,,,Release 1,P02,,
109,Release 1,R1-066,Waiting-for-client status,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,,,Release 1,P02,,
110,Release 1,R1-067,Warranty job status,IN-SPEC (not built),"Statuses, SLA and workflow rules","AC-24, ""performs a free warranty repair""",W03,D09,,Release 1,P02,,
111,Release 1,R1-068,Cancelled status,IN-SPEC (not built),"Statuses, SLA and workflow rules","WS §4 W1 item 9, ""there is no rejected or cancelled status""",W03,,,Release 1,P02,,
112,Release 1,R1-069,Bike Ready distinct from Collected,BUILT-in-prototype,"Statuses, SLA and workflow rules","PD ""Completion""; OV P-11",W03,,,Release 1,P02,,
118,Release 1,R1-070,Promised-ready time distinct from drop-off date,IN-SPEC (not built),"Statuses, SLA and workflow rules",AC §6 JOB-14–15,W03,D09,,Release 1,P02,,
121,Release 1,R1-071,Job tags,NOT-MENTIONED,"Statuses, SLA and workflow rules",HT§10 item 6,W03,,,Release 1,P02,,
117,Release 1,R1-072,SLA counter: past scheduled date,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,D09,,Release 1,P02,,
113,Release 1,R1-073,SLA counter: waiting for parts > 4 days,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,D09,,Release 1,P02,,
114,Release 1,R1-074,SLA counter: waiting for client > 1 day,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,D09,,Release 1,P02,,
115,Release 1,R1-075,SLA counter: work > 2 days,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,D09,,Release 1,P02,,
116,Release 1,R1-076,SLA counter: complete > 2 days,NOT-MENTIONED,"Statuses, SLA and workflow rules",—,W03,D09,,Release 1,P02,,
154,Release 1,R1-077,Email as a notification channel,IN-SPEC (not built),Messaging — channels,"WS §2, ""Email does not exist anywhere in the codebase""; MP PL-14",W07,D05,,Release 1,P06,,
155,Release 1,R1-078,SMS as a notification channel,BUILT-in-app,Messaging — channels,"WS §2, ""SMS is manual, one call site, no templates""; MP WS-2, Twilio sender in `server/sms.js`",W07,,,Release 1,P06,,
164,Release 1,R1-079,Storage of shop-supplied provider credentials,IN-SPEC (not built),Messaging — channels,"CT §6.3 consequence 1, ""We will store customer API credentials""",W07,D05,,Release 1,P06,,
157,Release 1,R1-080,Bring-your-own Twilio,IN-SPEC (not built),Messaging — channels,"CT §6.3, ""bring your own, not resold by us""; AC-50",W07,D05,,Release 1,P06,,
152,Release 1,R1-081,Message log with delivery state and provider id,BUILT-in-app,Messaging — templates,"MP WS-2, ""`customer_messages` carrying direction/status/`provider_sid`/error""",W07,,,Release 1,P06,,
75,Release 1,R1-082,Messages panel on the job with compose,BUILT-in-prototype,Job card,"PD ""Conversations""; OV P-09",W07,,,Release 1,P06,,
162,Release 1,R1-083,Customer choice of updates and channels,BUILT-in-prototype,Messaging — channels,"PD ""Notifications""; OV P-08",W07,D05,,Release 1,P06,,
160,Release 1,R1-084,WhatsApp channel,BUILT-in-prototype (simulated),Messaging — channels,"PD ""Notifications"", simulate email, SMS, WhatsApp; OV P-08",W07,D05,,Release 1,P06,,
161,Release 1,R1-085,Unified inbox across channels,NOT-MENTIONED,Messaging — channels,—,W07,D05,,Release 1,P06,,
124,Release 1,R1-086,"Per-status automated message templates, toggle-able",IN-SPEC (not built),Messaging — templates,"WS §2, ""Automated SMS/email on status change — Absent""; WS §4 W1 item 5; MP WS-2",W07,D05,,Release 1,P06,,
126,Release 1,R1-087,Booked In template,IN-SPEC (not built),Messaging — templates,"MP WS-2, ""Booking confirmation … send and are logged""",W07,,,Release 1,P06,,
127,Release 1,R1-088,"Booking Reminder (24 h before, configurable)",IN-SPEC (not built),Messaging — templates,"AC §6 COM-04/07/09, ""Separate event notifications, appointment reminders and service marketing""",W07,D05,,Release 1,P06,,
153,Release 1,R1-089,Ready-for-collection message,IN-SPEC (not built),Messaging — templates,MP WS-2 done-condition,W07,,,Release 1,P06,,
125,Release 1,R1-090,Pickup / Bike Picked Up templates,NOT-MENTIONED,Messaging — templates,HT§10 lists pick-up/delivery as deferrable,W07,D05,,Release 1,P06,,
128,Release 1,R1-091,Collection Reminder,NOT-MENTIONED,Messaging — templates,—,W07,D05,,Release 1,P06,,
137,Release 1,R1-092,Job Completed template,IN-SPEC (not built),Messaging — templates,"MP CX-5, the job-done email sent on completion",W07,,,Release 1,P06,,
139,Release 1,R1-093,Delivery template with a book-delivery link,NOT-MENTIONED,Messaging — templates,HT§10 deferrable,W07,D05,,Release 1,P06,,
166,Release 1,R1-094,Send quote to the customer,BUILT-in-prototype,Quotes and approval,"PD ""Inspection"", propose additional work with estimated costs; OV P-06",W08,D02,,Release 1,P03,,
167,Release 1,R1-095,Customer approves or declines individual lines,BUILT-in-prototype,Quotes and approval,"PD ""Authorisation""; OV P-06; also IN-SPEC as MP INS-2",W08,D02,,Release 1,P03,,
174,Release 1,R1-096,Declined lines excluded from the total,BUILT-in-prototype,Quotes and approval,"OV P-06, ""declined excluded from the total""",W08,D02,,Release 1,P03,,
175,Release 1,R1-097,Re-proposal keeps settled lines,BUILT-in-prototype,Quotes and approval,"OV P-06, ""a new proposal keeps settled lines and replaces only the undecided one""",W08,D02,,Release 1,P03,,
168,Release 1,R1-098,Pre-approved spending amount that skips the ask,BUILT-in-prototype,Quotes and approval,"PD ""Authorisation""; OV P-07, £65 under a £100 limit",W08,D02,,Release 1,P03,,
94,Release 1,R1-099,Quote updates the service type,NOT-MENTIONED,Job card,—,W08,D06,,Release 1,P03,,
133,Release 1,R1-100,Quote Approval template with an approval link,IN-SPEC (not built),Messaging — templates,"WS §4 W1 item 4, ""approval links""; WS §4 W2 item 12; MP INS-2",W08,,,Release 1,P03,,
203,Release 1,R1-101,Linked SKUs auto-added to the quote,NOT-MENTIONED,Service types,—,W04,,,Release 1,P03,,
204,Release 1,R1-102,Allow widget / app booking per service type,BUILT-in-prototype,Service types,"OV P-03, per-service acceptance rules",W04,,,Release 1,P03,,
191,Release 1,R1-103,Reusable checklist templates per shop,IN-SPEC (not built),Checklists and service questions,WS §4 W2 item 10; MP INS-1,W09,,,Release 1,P03,,
192,Release 1,R1-104,"Checklist item control types (checkbox, value box)",NOT-MENTIONED,Checklists and service questions,—,W09,,,Release 1,P03,,
193,Release 1,R1-105,Pre-service checklist shown at book-in,NOT-MENTIONED,Checklists and service questions,HT§10 item 5,W09,,,Release 1,P03,,
195,Release 1,R1-106,Front-and-rear checklist flag,NOT-MENTIONED,Checklists and service questions,—,W09,,,Release 1,P03,,
196,Release 1,R1-107,Checklist item label colour,NOT-MENTIONED,Checklists and service questions,—,W09,,,Release 1,P03,,
199,Release 1,R1-108,"Custom service questions (text, textarea, checkbox), drag-and-drop",NOT-MENTIONED,Checklists and service questions,—,W09,,,Release 1,P03,,
220,Release 1,R1-109,Enable / disable online bookings,IN-SPEC (not built),Shop settings,"AC-04, ""public booking stays unavailable with a useful message until prerequisites exist""",W10,,,Release 1,P05,,
1,Release 1,R1-110,Online customer self-booking into a shop calendar,BUILT-in-app,Booking widget / customer front door,"WS §2 table, ""Us today"" = ""Have — portal, guest booking by phone, server-side capacity gate""",W10,,,Release 1,P05,,
3,Release 1,R1-111,Guest booking with no account,BUILT-in-prototype,Booking widget / customer front door,"PD ""Customer entry""; OV P-02",W10,,,Release 1,P05,,
2,Release 1,R1-112,Embeddable website widget (iframe or URL),NOT-MENTIONED,Booking widget / customer front door,no spec mention of an embeddable widget; MP WEB-1 covers a marketing site only,W10,,,Release 1,P05,,
6,Release 1,R1-113,Pre-selected service type or service group on the widget,NOT-MENTIONED,Booking widget / customer front door,—,W10,D10,,Release 1,P05,,
8,Release 1,R1-114,Show prices on the widget,IN-SPEC (not built),Booking widget / customer front door,"AC §6 BOOK-04, ""honors price visibility""",W10,,,Release 1,P05,,
21,Release 1,R1-115,Service-specific acceptance rules,BUILT-in-prototype,Booking widget / customer front door,"OV P-03, ""per-service rules: routine auto, unknown reviewed""",W10,,,Release 1,P05,,
20,Release 1,R1-116,Instant confirmation vs shop review before confirmation,BUILT-in-prototype,Booking widget / customer front door,"PD ""Acceptance""; OV P-03",W10,,,Release 1,P05,,
22,Release 1,R1-117,Pending-request expiry / review deadline,IN-SPEC (not built),Booking widget / customer front door,"AC-12, AC-14; AC §6 BOOK-06–08",W10,,,Release 1,P05,,
24,Release 1,R1-118,Shop reject with a reason,IN-SPEC (not built),Booking widget / customer front door,WS §4 W1 item 9; MP WS-5,W10,,,Release 1,P05,,
23,Release 1,R1-119,Customer cancel and reschedule,IN-SPEC (not built),Booking widget / customer front door,WS §4 W1 item 9; MP WS-5,W10,,,Release 1,P05,,
17,Release 1,R1-120,Free-text problem description in the customer's own words,BUILT-in-prototype,Booking widget / customer front door,"PD ""Customer entry""; OV P-02",W10,,,Release 1,P05,,
18,Release 1,R1-121,Customer photo/video attachment at request time,BUILT-in-prototype,Booking widget / customer front door,"PD ""Customer entry""; OV P-02, both camera and file-library inputs",W10,D11,,Release 1,P05,,
19,Release 1,R1-122,Customer return-access link (progress link),BUILT-in-prototype,Booking widget / customer front door,"PD ""Return access""; OV P-12 (token rotation on reset)",W10,,,Release 1,P05,,
16,Release 1,R1-123,Custom service questions asked on the widget,NOT-MENTIONED,Booking widget / customer front door,—,W10,,,Release 1,P05,,
7,Release 1,R1-124,Additional-info and payment-info free text on the widget,NOT-MENTIONED,Booking widget / customer front door,—,W10,,,Release 1,P05,,
14,Release 1,R1-125,Widget theme colours and 22 fonts,NOT-MENTIONED,Booking widget / customer front door,—,W10,D10,,Release 1,P05,,
11,Release 1,R1-126,Show pre-approved amount on the widget,IN-SPEC (not built),Booking widget / customer front door,"PD ""Authorisation"", advance permission up to a spending limit (built in prototype, not on a public widget)",W10,,,Release 1,P05,,
52,Release 1,R1-127,"KPI tiles (Open Jobs, Bike Ready, Cancelled, Bike Is Here, I Need Help)",NOT-MENTIONED,Job list (Services),—,W11,D06,,Release 1,P02,,
53,Release 1,R1-128,Status filter chips,NOT-MENTIONED,Job list (Services),—,W11,D06,,Release 1,P02,,
54,Release 1,R1-129,Job list search,NOT-MENTIONED,Job list (Services),—,W11,D06,,Release 1,P02,,
56,Release 1,R1-130,Column: technician,BUILT-in-app,Job list (Services),"MP §3, per-mechanic diary columns imply assignment",W11,,,Release 1,P02,,
62,Release 1,R1-131,Shared queue jobs staff can take,BUILT-in-prototype,Job list (Services),"PD ""Work allocation""; OV P-05",W11,,,Release 1,P02,,
221,Release 1,R1-132,Tax-inclusive toggle and rate,IN-SPEC (not built),Shop settings,"MP TILL-4, ""VAT as stored data""; AC-29",W04,D10,,Release 1,P03,,
222,Release 1,R1-133,Allow discounts,BUILT-in-app,Shop settings,AC-30 references discounted parts on an invoice; MP §3 (till),W04,D10,,Release 1,P03,,
232,Release 1,R1-134,Online customer payment (Stripe connect),IN-SPEC (not built),"Payments, deposits and coupons","MP CX-4, ""Pay in one tap""; MP §10.4, payments architecture open and blocking",W12,,,Later,,Online customer payments explicitly deferred.,
238,Release 1,R1-135,Payment recorded at the counter vs an open payment link,IN-SPEC (not built),"Payments, deposits and coupons",AC-31,W12,,,Later,,Counter-settlement machinery defers with the money package; shop uses Lightspeed.,
236,Release 1,R1-136,Invoicing from the job,IN-SPEC (not built),"Payments, deposits and coupons","MP CX-3; AC-29, AC-30",W12,,,Later,,Invoicing explicitly deferred.,
237,Release 1,R1-137,"Refunds, voids and returns",IN-SPEC (not built),"Payments, deposits and coupons","MP TILL-1; CT §6.3, ""the till has no refunds, voids or returns""",W12,,,Later,,Refunds explicitly deferred.,
26,Release 1,R1-138,Deposit taken during online booking,EXPLICITLY-DEFERRED,Booking widget / customer front door,"WS §4 ""Deliberately deferred"": ""Deposits at booking""",W12,D04,Conflicts with Later row 233; preserve original buckets pending D04.,Later,,Deposit defers with online payments.,
240,Release 1,R1-139,Third-party partner responsible for payment on a job,NOT-MENTIONED,Third parties (insurer / employer payers),HT§10 lists third-party payers as deferrable,W12,D10,,Later,,Third-party billing defers with invoicing/payment scope.,
282,Release 1,R1-140,Connect to an external till,IN-SPEC (not built),POS integration,"MP §1 (Lightspeed first, coexistence); AC §6 ""Missing: external account connection""",W13,D07,,Release 1,P07,,
283,Release 1,R1-141,Lightspeed R-Series work-order sync,IN-SPEC (not built),POS integration,"MP §1 point 3, ""R-Series is the integration target""; CT §6.4 open item 2",W13,D07,,Release 1 (conditional),P07,,R-Series recommended; requires actual shop fit and API proof LS-01–09. Swap with row 284 if X-Series chosen; one adapter only.
285,Release 1,R1-142,"Inventory adjusted on part add/remove, returned on cancel",IN-SPEC (not built),POS integration,"AC-36, ""Specify reservation, invoice, payment and stock ownership at each step""",W13,D07,,Release 1,P07,,"Approved work-order part commitments, exactly one stock authority; no sale/refund writes; stock effect must be proven."
288,Release 1,R1-143,POS product / inventory sync page,IN-SPEC (not built),POS integration,"AC-42, ""Work orders sync but inventory fails for an hour""",W13,D07,,Release 1,P07,,
287,Release 1,R1-144,Technician mapped to a POS employee,NOT-MENTIONED,POS integration,—,W13,D07,,Release 1,P07,,
291,Release 1,R1-145,Disconnect and credential revocation,IN-SPEC (not built),POS integration,"AC-47; AC §6 ""Missing: external account connection""",W13,D07,,Release 1,P07,,
292,Release 1,R1-146,Visible sync freshness / degraded operation,IN-SPEC (not built),POS integration,"AC-42; AC §6 ""Missing: visible degraded operation""",W13,D07,,Release 1,P07,,
284,Release 1,R1-147,Lightspeed X-Series support,IN-SPEC (not built),POS integration,AC-03; CT §6.4 open item 2,W13,D07,,Later,,Second adapter deferred under conditional R-Series recommendation; swap with 283 if X-Series selected.,
294,Release 1,R1-148,Receipt / job-card printing,BUILT-in-app,Printing,"MP §3, ""Electron print agent""",W14,D11,,Release 1 (partial),P08,,Job-card printing only; financial receipts Later.
78,Release 1,R1-149,Print the job card,BUILT-in-app,Job card,"MP §3, ""Electron print agent""; MP PF-3",W14,,,Release 1,P08,,
79,Release 1,R1-150,Print job tag automatically after book-in,NOT-MENTIONED,Job card,HT§10 item 6,W14,D11,Related automatic print mechanism to row 298; job-tag output must be verified separately.,Release 1,P08,,
298,Release 1,R1-151,Print automatically after book-in,NOT-MENTIONED,Printing,—,W14,D11,Related automatic print mechanism to row 79; resolve output contract.,Release 1,P08,,
297,Release 1,R1-152,Work-order barcode that opens the job,NOT-MENTIONED,Printing,—,W14,,,Release 1,P08,,
179,Release 1,R1-153,Customer CSV import,IN-SPEC (not built),Customers and items,"HT§10 item 9 for parity; AC-44, AC-45 for the required semantics",W15,,Same customer import implementation as row 276.,Later,,Customer import explicitly deferred.,
276,Release 1,R1-154,Customer CSV import,IN-SPEC (not built),Imports and migration,"AC-44, AC-45",W15,,Same customer import implementation as row 179.,Later,,Customer import explicitly deferred; duplicate of row 179.,
278,Release 1,R1-155,Import row quarantine on malformed data,IN-SPEC (not built),Imports and migration,AC-43,W15,,,Later,,Import quarantine deferred with customer import.,
279,Release 1,R1-156,"Resumable, checkpointed import",IN-SPEC (not built),Imports and migration,"AC-39; AC §6 ""Missing: sync integrity""",W15,,,Later,,Import checkpoint/resume deferred with customer import.,
182,Release 1,R1-157,Duplicate-customer detection and merge,IN-SPEC (not built),Customers and items,MP WS-8; AC §6 CUS-05/CUS-08,W15,D03,,Release 1,P02,,Staff duplicate review/merge retained independently of customer import; no automatic public phone matching.
183,Release 1,R1-158,Phone-number match creating identity,EXPLICITLY-DEFERRED,Customers and items,"WS §4 W0 item 3 and MP DS-7 remove it; AC-44, ""Phone or name similarity never automatically grants identity""",W02,D03,,Release 1,P02,,Proposed staff-assisted identity handling; typed phone number alone never grants access.
258,Release 1,R1-159,"Bookings reports (daily snapshot, booked-in detail, by platform, by day-hour)",NOT-MENTIONED,Reports,—,W16,D10,,Later,,Reports explicitly deferred.,
273,Release 1,R1-160,VAT / tax reporting,IN-SPEC (not built),Reports,MP TILL-4; AC §6 DONE-04/REP-05,W16,D10,,Later,,Reports explicitly deferred.,
271,Release 1,R1-161,"Workshop financials (revenue and labour per technician, AOV, turnover, parts, job-card breakdown)",EXPLICITLY-DEFERRED,Reports,"WS §4 ""Deliberately deferred"": ""technician efficiency and commission reporting""; WS §2 names it as unclaimed",W16,D10,,Later,,Reports explicitly deferred.,
264,Release 1,R1-162,Group / multi-store capacity reports,EXPLICITLY-DEFERRED,Reports,"MP §6, multi-site frozen until after G3",W16,D08,,Later,,Reports and group capacity explicitly deferred.,
223,Release 1,R1-163,Store type,NOT-MENTIONED,Shop settings,—,W17,,,Release 1,P09,,
224,Release 1,R1-164,GDPR marketing-consent prompt and text,IN-SPEC (not built),Shop settings,WS §5 rules 6 and 7; MP §9,W17,D12,,Release 1,P09,,
225,Release 1,R1-165,Free-text merge tag,NOT-MENTIONED,Shop settings,—,W07,,,Release 1,P06,,
228,Release 1,R1-166,Workshop notification settings,BUILT-in-prototype,Shop settings,"PD ""Notifications"", sensible defaults; PD ""Remaining prototype details""",W07,,,Release 1,P06,,
229,Release 1,R1-167,Workshop-only mode (job without a till sale),BUILT-in-app (partial),Shop settings,"MP PF-2, ""the mechanism works — `skipAutoOrder` … Missing is the *mode*""",W03,,,Release 1,P02,,
248,Release 1,R1-168,Custody tracked separately from work and payment,BUILT-in-prototype,Pick-up and delivery,"PD ""Completion""; PD constraint 6; OV P-11",W03,D09,,Release 1,P02,,
253,Release 1,R1-169,Bike Sale product module,BUILT-in-app,Bike sale,"MP §3, ""till, inventory, sales history"" (a bike is stock like any product)",W11,D10,,Later,,New Bike Sale/till module deferred with the money package; existing code retained.,
316,Release 1,R1-170,Public status page and error tracking,IN-SPEC (not built),Platform,MP PL-13,W18,D12,,Release 1,P10,,Status/error visibility retained; no recovery/PITR work.
